class,level,time,latitude,longitude
M,1.4,28 January 2014 at 11:38,111.467,-13.193
M,1.3,28 January 2014 at 12:46,111.392,-13.194
M,4.9,28 January 2014 at 19:40,110.922,-13.21
M,2.6,28 January 2014 at 22:16,110.97,-13.209
M,2.1,30 January 2014 at 06:39,111.035,-13.218
M,1.1,30 January 2014 at 08:11,111.094,-13.199
M,1.1,31 January 2014 at 15:42,112.699,10.018
M,3.0,01 February 2014 at 07:23,110.609,-12.606
M,2.6,02 February 2014 at 06:34,111.138,10.109
M,2.2,02 February 2014 at 08:20,110.818,-12.257
M,4.4,02 February 2014 at 09:31,110.82,-12.252
M,1.3,02 February 2014 at 14:06,110.831,-12.215
M,3.1,02 February 2014 at 18:11,110.766,-12.199
M,1.3,02 February 2014 at 22:04,110.646,-12.181
M,3.8,04 February 2014 at 01:23,110.118,10.184
M,5.2,04 February 2014 at 04:00,109.996,-12.066
M,1.4,04 February 2014 at 09:49,109.75,-12.122
M,1.5,04 February 2014 at 16:02,109.569,-12.156
M,1.3,05 February 2014 at 16:20,109.069,-12.343
M,1.5,06 February 2014 at 23:05,107.222,-12.568
M,2.0,07 February 2014 at 04:56,107.111,-12.577
M,1.9,07 February 2014 at 10:29,107.673,10.588
M,1.7,11 February 2014 at 03:31,355.641,-12.197
M,1.8,11 February 2014 at 16:51,355.097,-12.2
M,3.7,12 February 2014 at 04:25,354.614,-12.473
M,2.3,12 February 2014 at 06:58,354.603,-12.482
M,1.7,13 February 2014 at 06:07,354.613,-12.259
M,2.3,14 February 2014 at 02:57,354.263,-12.112
M,1.6,14 February 2014 at 12:40,354.182,-12.022
M,1.1,14 February 2014 at 13:28,354.16,-12.02
M,1.1,16 February 2014 at 09:26,291.985,-11.095
M,3.0,20 February 2014 at 07:56,319.942,-14.297
M,1.2,24 February 2014 at 11:17,111.671,-13.146
M,1.3,24 February 2014 at 12:05,111.365,-13.152
M,1.1,26 February 2014 at 15:01,209.879,-10.281
M,1.1,28 February 2014 at 00:48,92.948,-24.385
M,1.1,01 March 2014 at 13:33,206.103,-10.806
M,1.1,02 March 2014 at 23:19,177.093,14.663
M,1.2,03 March 2014 at 15:58,121.879,9.521
M,1.4,08 March 2014 at 23:41,323.094,-18.377
M,1.1,10 March 2014 at 00:26,323.107,-18.367
M,1.7,10 March 2014 at 15:28,322.868,-18.598
M,1.4,10 March 2014 at 23:00,51.417,14.077
M,3.5,11 March 2014 at 03:50,51.555,14.125
M,1.7,11 March 2014 at 12:07,83.986,-25.743
M,2.5,12 March 2014 at 11:05,52.247,14.41
M,9.3,12 March 2014 at 22:34,52.083,14.592
M,1.7,20 March 2014 at 03:56,217.806,-12.966
M,1.1,22 March 2014 at 07:02,280.398,-7.562
M,2.0,28 March 2014 at 19:18,142.566,8.122
M,2.6,28 March 2014 at 23:51,142.67,8.228
M,2.1,30 March 2014 at 11:55,143.655,8.666
M,1.4,31 March 2014 at 08:07,170.595,-13.127
