class,level,time,latitude,longitude
C,1.9,15 April 2011 at 11:36,271.095,13.3468
C,1.4,16 April 2011 at 02:00,271.112,13.4720
C,1.8,18 April 2011 at 02:48,269.633,14.1691
C,1.5,18 April 2011 at 19:00,269.069,14.4961
C,1.0,18 April 2011 at 19:24,189.025,-17.0294
C,1.0,19 April 2011 at 05:12,193.673,-17.2367
C,1.0,20 April 2011 at 04:36,197.421,-17.2169
C,4.0,20 April 2011 at 19:36,192.682,-18.2283
C,1.0,21 April 2011 at 08:36,191.936,-18.4619
C,8.5,21 April 2011 at 09:48,191.851,-18.4811
C,4.9,21 April 2011 at 14:48,191.252,-18.5865
C,4.5,21 April 2011 at 22:12,191.127,-18.4374
C,1.5,22 April 2011 at 00:24,190.814,-18.3448
C,1.8,22 April 2011 at 07:36,190.203,-18.3341
C,2.5,22 April 2011 at 08:12,190.135,-18.3277
C,2.6,22 April 2011 at 09:48,190.096,-18.3194
C,7.7,22 April 2011 at 11:24,189.936,-18.3743
C,3.0,22 April 2011 at 12:36,189.706,-18.4051
C,1.3,22 April 2011 at 14:12,189.578,-18.3818
C,1.3,22 April 2011 at 14:48,189.583,-18.3758
C,1.4,22 April 2011 at 15:00,189.572,-18.3668
C,5.5,22 April 2011 at 17:12,189.397,-18.3504
C,4.2,22 April 2011 at 18:00,189.390,-18.3568
C,3.6,22 April 2011 at 19:36,189.259,-18.3868
C,2.7,22 April 2011 at 22:00,189.016,-18.4297
C,2.4,22 April 2011 at 22:48,188.986,-18.4472
C,2.9,22 April 2011 at 23:00,188.910,-18.4691
C,1.3,23 April 2011 at 02:00,188.747,-18.5670
C,1.9,23 April 2011 at 03:48,188.745,-18.5888
C,1.1,23 April 2011 at 04:24,188.667,-18.6097
C,1.2,23 April 2011 at 05:00,188.575,-18.6473
C,2.4,23 April 2011 at 07:36,188.317,-18.7669
C,1.0,23 April 2011 at 14:24,187.931,-18.9222
C,1.8,29 April 2011 at 20:48,177.549,-21.7200
C,1.5,29 April 2011 at 23:00,177.314,-21.8477
C,3.2,30 April 2011 at 11:48,177.417,-21.9695
C,1.0,30 April 2011 at 12:24,177.457,-21.9437
C,3.2,30 April 2011 at 13:24,177.449,-21.9348
C,1.6,01 May 2011 at 08:12,174.497,-23.0062
C,1.0,28 April 2011 at 02:36,180.589,-20.7271
C,2.0,27 April 2011 at 02:36,114.154,13.8474
C,2.4,28 April 2011 at 12:00,188.141,20.5618
C,1.5,30 April 2011 at 08:24,186.590,20.6883
C,1.7,30 April 2011 at 09:00,186.525,20.6872
C,6.5,01 May 2011 at 23:36,183.770,21.1756
C,3.8,29 April 2011 at 00:24,64.1810,18.0340
C,1.3,03 May 2011 at 10:48,53.0050,18.0748
C,1.4,09 May 2011 at 05:12,-15.9756,16.7155
C,1.5,09 May 2011 at 17:36,344.390,17.2385
C,1.3,15 May 2011 at 14:24,323.661,10.8676
C,4.8,15 May 2011 at 23:36,323.578,10.7571
C,1.2,18 May 2011 at 13:00,165.845,-15.9548
C,5.9,29 May 2011 at 02:00,130.672,20.2528
C,3.2,30 May 2011 at 02:48,130.477,20.4999
C,1.1,25 May 2011 at 21:00,113.921,-15.3259
C,1.4,25 May 2011 at 22:00,113.949,-15.3799
C,2.1,27 May 2011 at 14:48,37.9309,-20.4345
C,5.6,27 May 2011 at 16:48,37.5736,-20.4982
C,1.1,27 May 2011 at 18:00,37.4831,-20.5254
C,1.4,27 May 2011 at 19:48,37.4118,-20.5743
C,1.2,27 May 2011 at 22:48,37.2913,-20.6295
C,1.4,28 May 2011 at 00:36,37.2057,-20.6691
C,1.6,28 May 2011 at 02:36,37.0721,-20.7185
C,8.3,28 May 2011 at 03:36,37.0099,-20.7525
C,1.7,28 May 2011 at 06:24,36.8514,-20.8055
C,4.4,28 May 2011 at 08:12,36.8086,-20.8173
C,7.7,28 May 2011 at 09:00,36.7914,-20.8098
C,5.3,28 May 2011 at 10:36,36.7404,-20.8134
C,1.9,28 May 2011 at 12:48,36.6429,-20.7994
C,1.4,28 May 2011 at 13:12,36.6455,-20.7895
C,1.0,28 May 2011 at 13:36,36.6280,-20.7908
C,1.0,28 May 2011 at 15:48,36.6336,-20.7515
C,1.9,28 May 2011 at 17:24,36.4787,-20.7848
C,2.2,28 May 2011 at 18:48,36.2672,-20.7864
C,2.6,29 May 2011 at 07:36,34.4359,-20.5948
C,3.7,29 May 2011 at 09:24,34.1958,-20.5618
C,3.0,29 May 2011 at 09:48,34.1422,-20.5674
C,7.7,29 May 2011 at 11:36,33.9946,-20.5151
C,3.5,30 May 2011 at 05:48,33.4564,-20.4703
C,7.0,30 May 2011 at 06:00,33.4538,-20.4808
C,1.7,31 May 2011 at 05:48,32.5915,-20.5857
C,1.6,01 June 2011 at 16:12,31.2470,-20.9258
C,2.9,01 June 2011 at 16:36,31.2705,-20.9347
C,4.1,01 June 2011 at 17:12,31.2798,-20.9429
C,1.2,02 June 2011 at 02:48,31.3030,-21.1005
C,2.7,02 June 2011 at 09:48,31.1558,-21.1804
C,2.5,03 June 2011 at 16:12,30.4709,-21.6144
C,1.6,03 June 2011 at 22:48,30.0942,-21.6518
C,1.2,06 June 2011 at 01:36,28.3003,-21.8367
C,1.0,06 June 2011 at 09:48,27.7455,-21.9184
C,1.8,09 June 2011 at 03:24,15.3792,-21.8336
C,4.1,09 June 2011 at 03:48,15.3931,-21.8263
C,8.7,29 May 2011 at 21:24,33.3983,-20.3992
C,2.8,30 May 2011 at 11:00,33.4104,-20.4700
C,1.8,31 May 2011 at 04:48,32.6712,-20.5617
C,1.4,02 June 2011 at 06:36,31.2213,-21.1495
C,3.7,02 June 2011 at 07:48,31.1598,-21.1539
C,2.6,01 June 2011 at 02:48,18.0623,18.2121
C,1.8,02 June 2011 at 10:24,-22.6349,9.02250
C,1.0,09 June 2011 at 10:24,244.874,-16.4350
C,3.2,15 June 2011 at 14:36,246.521,-15.2425
C,1.1,17 June 2011 at 22:12,245.791,-15.2267
C,1.4,17 June 2011 at 23:12,245.769,-15.2072
C,3.9,17 June 2011 at 23:48,245.740,-15.1991
C,4.7,19 June 2011 at 15:24,245.493,-15.1079
C,1.8,14 June 2011 at 00:36,169.200,16.6914
C,2.2,14 June 2011 at 11:24,166.535,16.6758
C,2.6,15 June 2011 at 11:48,166.799,16.2291
C,7.1,16 June 2011 at 10:24,166.979,16.1976
C,1.0,16 June 2011 at 15:48,166.963,16.2319
C,7.7,21 June 2011 at 03:24,165.814,16.8802
